Category,Crops,Area-2007-08,Production-2007-08,Area-2008-09,Production-2008-09,Area-2009-10,Production-2009-10,Area-2010-11,Production-2010-11,Area-2011-12,Production-2011-12,Area-2012-13,Production-2012-13,Area-2013-14,Production-2013-14,Area-2014-15(3rd Adv. Est),Production-2014-15(3rd Adv. Est)
Fruits,Banana,658,23823,709,26217,770,26470,830,29780,797,28455,776,26509,803,29725,845,28137
Fruits,Mango,2201,13997,2309,12750,2312,15027,2297,15188,2378,16196,2500,18002,2516,18431,2218,18832
Fruits,Citrus,867,8015,924,8623,987,9638,846,7464,915,7922,1042,10090,1078,11147,923,11742
Fruits,Papaya,83,2909,98,3629,96,3913,106,4196,117,4457,132,5382,133,5639,122,4682
Fruits,Guava,179,1981,204,2270,220,2572,205,2462,220,2510,236,3198,268,3668,248,3919
Fruits,Apple,264,2001,274,1985,283,1777,289,2891,322,2203,312,1915,313,2498,320,1922
Fruits,Pineapple,80,1245,84,1341,92,1387,89,1415,102,1500,105,1571,110,1737,114,1913
Fruits,Sapota,152,1258,156,1308,159,1347,160,1424,163,1426,164,1495,177,1744,111,1290
Fruits,Grapes,68,1735,80,1878,106,881,111,1235,116,2221,118,2483,119,2585,122,3205
Fruits,Pomegranate,124,884,109,807,125,820,107,743,112,772,110,745,131,1346,194,2095
Fruits,Litchi,69,418,72,423,74,483,78,497,80,538,83,580,84,585,90,569
Fruits,Others,1112,7321,1083,7234,1105,7201,1265,7583,1383,8224,1402,9315,1485,9872,936,7977
Fruits,Total,5857,65587,6101,68466,6329,71516,6383,74878,6705,76424,6982,81285,7216,88977,6242,86283
Vegetables,Potato,1795,34658,1828,34391,1835,36577,1863,42339,1907,41483,1992,45344,1973,41555,2069,45951
Vegetables,Tomato,566,10303,599,11149,634,12433,865,16526,907,18653,880,18227,882,18736,894,19167
Vegetables,Onion,821,13900,834,13565,756,12159,1064,15118,1087,17511,1052,16813,1204,19402,1150,18736
Vegetables,Brinjal,561,9678,600,10378,612,10563,680,11896,692,12634,722,13444,711,13558,679,12439
Vegetables,Tapioca,270,9056,280,9623,232,8060,221,8076,227,8747,207,7237,228,8139,213,5715
Vegetables,Cabbage,266,5910,310,6870,331,7281,369,7949,390,8412,372,8534,400,9039,380,8795
Vegetables,Cauliflower,312,5777,349,6532,348,6569,369,6745,391,7349,402,7887,434,8573,414,8026
Vegetables,Okra,407,4179,432,4528,452,4803,498,5784,518,6259,231,6350,533,6346,493,5552
Vegetables,Peas,313,2491,348,2916,365,3029,370,3517,408,3745,421,4006,434,3869,467,4476
Vegetables,Sweet Potato,123,1094,124,1120,119,1095,113,1047,110,1073,112,1132,106,1088,111,1336
Vegetables,Others,2414,31402,2275,28006,2300,31168,2083,27557,2352,30459,2815,33213,2492,32574,2623,36838
Vegetables,Total,7848,128449,7981,129077,7985,133738,8495,146554,8989,156325,9205,162187,9396,162880,9494,167030
Aromatic,Aromatic,397,396,430,430,509,573,510,605,506,566,557,918,493,895,508,831
Almond/Walnut,Almond/Walnut,132,177,136,173,142,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flowers Loose,Flowers Loose,166,868,167,987,183,1021,191,1031,254,1652,233,1729,255,1754,246,1641
Flowers Cut*,Flowers Cut*,NA,43644,NA,47942,NA,66671,NA,69027,NA,75066,NA,76732,NA,543,NA,477
Plantation Crops,Plantation Crops,3190,11300,3217,11336,3265,11928,3306,12007,3577,16359,3641,16985,3675,16301,3538,15644
Mushroom,Mushroom,NA,37,NA,37,NA,41,NA,41,NA,0,0,NA,NA,17,NA,28
Honey,Honey,NA,65,NA,65,NA,65,NA,65,NA,0,0,NA,NA,76,NA,76
Spices,Spices,2617,4357,2629,4145,2464,4016,2940,5350,3212,5951,3076,5744,3163,5908,3788,5732
Grand Total,Grand Total,20207,211235,20662,214716,20876,223089,21825,240531,23243,257277,23695,268847,24198,277352,23216,277743
